,id,theme,name,year of release,# of pieces,# of minifigures,Secondary market prices of new sets in 2015,Secondary market prices of used sets in 2015,Primary market price at release,age,Size group (1 - Biggest; 4 - Smallest),Profit Margin,Full Retirement Date,Years Since Retirement,Yearly Average Returns
0,10000,Castle,Guarded Inn,2001,253,4.0,156.07,79.2,24.99,14,4,6.245298119247699,,,
1,10001,Trains,Metroliner,2001,782,11.0,420.86,229.2,148.99,14,2,2.8247533391502784,,,
2,10002,Trains,Railroad Club Car,2001,293,5.0,208.47,125.53,37.99,14,4,5.487496709660436,,,
3,10013,Trains,Open Freight Wagon,2001,121,0.0,43.73,43.07,16.99,14,4,2.5738669805768097,,,
4,10014,Trains,Caboose,2001,170,0.0,52.67,36.2,14.99,14,4,3.513675783855904,,,
5,10015,Trains,Green Passenger Wagon,2001,194,0.0,56.21,47.07,19.99,14,4,2.8119059529764887,2007-11-15T00:00:00Z,8.134246575342466,1.135530535673886
6,10016,Trains,Tanker,2001,128,0.0,77.86,48.73,19.99,14,4,3.8949474737368686,,,
7,10017,Trains,Hopper Wagon,2001,228,0.0,61.21,35.53,19.99,14,4,3.0620310155077544,,,
8,10018,Star Wars,Darth Maul,2001,1868,0.0,795.93,454.87,149.99,14,1,5.306553770251349,,,
9,10019,Star Wars,Rebel Blockade Runner,2001,1747,0.0,1232.6,589.2,199.99,14,1,6.16330816540827,,,
10,10020,Trains,Santa Fe Super Chief,2002,435,2.0,265.6,203.53,39.99,13,3,6.641660415103776,,,
11,10022,Trains,Santa Fe Cars - Set II,2002,411,0.0,273.35,192.69,34.99,13,3,7.8122320663046585,,,
12,10023,Bionicle,Bionicle Master Builder Set,2002,112,0.0,32.88,15.8,12.99,13,4,2.5311778290993074,,,
13,10024,Advanced models,Red Baron,2002,664,0.0,374.0,190.4,49.99,13,2,7.4814962992598515,,,
14,10025,Trains,Santa Fe Cars - Set I,2002,326,0.0,204.4,182.53,34.99,13,4,5.841669048299514,,,
15,10026,Star Wars,Special Edition Naboo Starfighter,2002,187,0.0,401.67,159.31,39.99,13,4,10.044261065266317,,,
