set_num,name,year,theme_id,num_parts,img_url,figs,retail,unique_figs,rating,retire_month,value,brickset_rating
10217-1,Diagon Alley,2011,246,2032,https://cdn.rebrickable.com/media/sets/10217-1.jpg,12,132.99,6,4.7,January 2013,430.08,4.3
10218-1,Pet Shop,2011,155,2034,https://cdn.rebrickable.com/media/sets/10218-1.jpg,4,119.99,4,4.7,November 2016,238.36,4.3
10219-1,Maersk Container Train,2011,673,1233,https://cdn.rebrickable.com/media/sets/10219-1.jpg,3,91.99,3,4.8,November 2012,422.55,4.6
10220-1,Volkswagen T1 Camper Van,2011,673,1332,https://cdn.rebrickable.com/media/sets/10220-1.jpg,0,79.99,0,4.6,December 2020,138.43,4.4
10221-1,Super Star Destroyer,2011,171,3152,https://cdn.rebrickable.com/media/sets/10221-1.jpg,5,349.99,3,4.8,June 2014,1122.20,4.4
10222-1,Winter Village Post Office,2011,227,822,https://cdn.rebrickable.com/media/sets/10222-1.jpg,7,49.99,7,4.7,December 2012,420.65,4.3
10223-1,Kingdoms Joust,2012,196,1575,https://cdn.rebrickable.com/media/sets/10223-1.jpg,9,99.99,6,4.2,December 2014,307.76,4.6
10224-1,Town Hall,2012,155,2772,https://cdn.rebrickable.com/media/sets/10224-1.jpg,8,149.99,8,4.9,October 2014,724.37,4.4
10225-1,R2-D2,2012,171,2127,https://cdn.rebrickable.com/media/sets/10225-1.jpg,1,149.99,0,4.5,November 2014,187.60,4.4
10226-1,Sopwith Camel,2012,673,879,https://cdn.rebrickable.com/media/sets/10226-1.jpg,0,79.99,0,4.8,October 2014,217.75,4.4
10227-1,B-wing Starfighter,2012,171,1487,https://cdn.rebrickable.com/media/sets/10227-1.jpg,0,169.99,0,4.9,November 2013,438.97,4.2
10228-1,Haunted House,2012,558,2064,https://cdn.rebrickable.com/media/sets/10228-1.jpg,6,149.99,2,4.6,January 2015,446.81,4.6
10229-1,Winter Village Cottage,2012,227,1492,https://cdn.rebrickable.com/media/sets/10229-1.jpg,8,89.99,5,4.5,December 2013,320.84,4.3
10230-1,Mini Modulars,2012,156,1356,https://cdn.rebrickable.com/media/sets/10230-1.jpg,0,59.99,0,4.7,December 2013,167.79,4.4
10231-1,Shuttle Expedition,2011,673,1230,https://cdn.rebrickable.com/media/sets/10231-1.jpg,3,81.99,2,4.9,April 2013,413.20,4.4
10232-1,Palace Cinema,2013,155,2194,https://cdn.rebrickable.com/media/sets/10232-1.jpg,7,119.99,7,4.9,November 2017,270.68,4.2
10233-1,Horizon Express,2013,673,1351,https://cdn.rebrickable.com/media/sets/10233-1.jpg,6,79.99,6,4.7,December 2014,237.35,4.4
10234-1,Sydney Opera House,2013,673,2989,https://cdn.rebrickable.com/media/sets/10234-1.jpg,0,249.99,0,4.8,November 2016,324.54,4.2
10235-1,Winter Village Market,2013,228,1261,https://cdn.rebrickable.com/media/sets/10235-1.jpg,9,79.99,9,4.8,December 2014,180.15,4.1
10236-1,Ewok Village,2013,171,1990,https://cdn.rebrickable.com/media/sets/10236-1.jpg,17,199.99,5,4.8,November 2016,509.95,4.5
10237-1,The Tower of Orthanc,2013,566,2362,https://cdn.rebrickable.com/media/sets/10237-1.jpg,5,169.99,2,4.9,October 2015,621.31,4.7
10240-1,Red Five X-Wing Starfighter,2013,171,1558,https://cdn.rebrickable.com/media/sets/10240-1.jpg,1,169.99,0,4.7,October 2015,236.78,4.4
10241-1,Maersk Line Triple-E,2014,673,1518,https://cdn.rebrickable.com/media/sets/10241-1.jpg,0,109.99,0,4.8,September 2015,260.64,4.2
10242-1,MINI Cooper,2014,673,1077,https://cdn.rebrickable.com/media/sets/10242-1.jpg,0,74.99,0,4.8,April 2019,179.26,4.4
10243-1,Parisian Restaurant,2014,155,2450,https://cdn.rebrickable.com/media/sets/10243-1.jpg,5,132.99,7,4.9,January 2020,276.61,4.6
10244-1,Fairground Mixer,2014,673,1745,https://cdn.rebrickable.com/media/sets/10244-1.jpg,12,119.99,13,4.7,November 2016,188.92,4.2
10245-1,Santa's Workshop,2014,228,884,https://cdn.rebrickable.com/media/sets/10245-1.jpg,6,59.99,5,4.8,November 2016,184.17,4.1
10246-1,Detective's Office,2015,155,2262,https://cdn.rebrickable.com/media/sets/10246-1.jpg,6,132.99,7,4.9,March 2018,362.03,4.5
10247-1,Ferris Wheel,2015,673,2464,https://cdn.rebrickable.com/media/sets/10247-1.jpg,10,149.99,11,4.8,December 2018,299.09,4.3
10248-1,Ferrari F40,2015,673,1158,https://cdn.rebrickable.com/media/sets/10248-1.jpg,0,69.99,0,4.5,November 2017,261.23,4.4
10249-1,Winter Toy Shop,2015,228,898,https://cdn.rebrickable.com/media/sets/10249-1.jpg,8,59.99,9,4.6,November 2017,170.77,4.1
10251-1,Brick Bank,2016,155,2384,https://cdn.rebrickable.com/media/sets/10251-1.jpg,6,119.99,6,5.0,November 2018,494.38,4.4
10252-1,Volkswagen Beetle,2016,673,1167,https://cdn.rebrickable.com/media/sets/10252-1.jpg,0,74.99,0,4.5,December 2020,109.23,4.3
10253-1,Big Ben,2016,673,4167,https://cdn.rebrickable.com/media/sets/10253-1.jpg,0,169.99,0,4.6,November 2018,331.23,4.2
10254-1,Winter Holiday Train,2016,228,735,https://cdn.rebrickable.com/media/sets/10254-1.jpg,5,69.99,5,4.9,December 2019,189.61,4.1
10256-1,Taj Mahal,2017,673,5923,https://cdn.rebrickable.com/media/sets/10256-1.jpg,0,299.99,0,4.9,November 2020,350.86,4.0
10257-1,Carousel,2017,673,2670,https://cdn.rebrickable.com/media/sets/10257-1.jpg,7,159.99,8,4.5,December 2019,329.49,4.2
10258-1,London Bus,2017,673,1686,https://cdn.rebrickable.com/media/sets/10258-1.jpg,0,109.99,0,4.8,December 2021,115.32,4.2
10259-1,Winter Village Station,2017,228,902,https://cdn.rebrickable.com/media/sets/10259-1.jpg,5,74.99,5,4.8,November 2018,184.28,3.9
10260-1,Downtown Diner,2018,155,2480,https://cdn.rebrickable.com/media/sets/10260-1.jpg,6,129.99,6,4.9,November 2020,264.07,4.3
10261-1,Roller Coaster,2018,673,4124,https://cdn.rebrickable.com/media/sets/10261-1.jpg,11,299.99,11,4.9,November 2021,372.16,4.3
10262-1,James Bond Aston Martin DB5,2018,673,1297,https://cdn.rebrickable.com/media/sets/10262-1.jpg,0,129.99,0,4.9,January 2022,160.77,4.3
10263-1,Winter Village Fire Station,2018,228,1166,https://cdn.rebrickable.com/media/sets/10263-1.jpg,8,84.99,7,4.8,December 2020,125.70,3.9
10264-1,Corner Garage,2019,155,2569,https://cdn.rebrickable.com/media/sets/10264-1.jpg,6,159.99,6,4.9,December 2021,225.32,4.1
10265-1,Ford Mustang,2019,673,1471,https://cdn.rebrickable.com/media/sets/10265-1.jpg,0,149.99,0,4.9,January 2024,146.60,4.5
10266-1,NASA Apollo 11 Lunar Lander,2019,673,1087,https://cdn.rebrickable.com/media/sets/10266-1.jpg,2,84.99,2,4.9,December 2023,100.84,4.4
10267-1,Gingerbread House,2019,228,1477,https://cdn.rebrickable.com/media/sets/10267-1.jpg,2,84.99,2,4.8,October 2021,113.59,4.2
10268-1,Vestas Wind Turbine,2018,673,834,https://cdn.rebrickable.com/media/sets/10268-1.jpg,3,159.99,3,4.9,November 2020,226.63,4.0
10269-1,Harley-Davidson Fat Boy,2019,673,1023,https://cdn.rebrickable.com/media/sets/10269-1.jpg,0,84.99,0,4.9,November 2021,97.70,4.2
10270-1,Bookshop,2020,155,2504,https://cdn.rebrickable.com/media/sets/10270-1.jpg,5,169.99,5,4.8,December 2023,188.46,4.2
10271-1,Fiat 500,2020,673,960,https://cdn.rebrickable.com/media/sets/10271-1.jpg,0,74.99,0,4.8,November 2022,83.61,4.2
10272-1,Old Trafford - Manchester United,2020,673,3898,https://cdn.rebrickable.com/media/sets/10272-1.jpg,0,249.99,0,4.8,November 2022,332.92,4.3
10273-1,Haunted House,2020,721,3232,https://cdn.rebrickable.com/media/sets/10273-1.jpg,10,259.99,8,4.8,November 2023,287.02,4.4
10275-1,Elf Club House,2020,227,1197,https://cdn.rebrickable.com/media/sets/10275-1.jpg,4,84.99,4,4.8,November 2022,98.81,4.1
10276-1,Colosseum,2020,721,9036,https://cdn.rebrickable.com/media/sets/10276-1.jpg,0,474.99,0,4.8,November 2023,665.62,4.3
10277-1,Crocodile Locomotive,2020,721,1279,https://cdn.rebrickable.com/media/sets/10277-1.jpg,2,89.99,2,4.8,November 2021,118.00,4.3
10403-1,World Fun,2018,621,295,https://cdn.rebrickable.com/media/sets/10403-1.jpg,2,14.99,2,4.5,January 2019,21.35,3.7
10404-1,Ocean's Bottom,2018,621,579,https://cdn.rebrickable.com/media/sets/10404-1.jpg,2,24.99,2,4.5,December 2018,37.81,4.1
10405-1,Mission to Mars,2018,621,871,https://cdn.rebrickable.com/media/sets/10405-1.jpg,3,44.99,3,4.5,December 2018,81.54,4.2
10654-1,XL Creative Brick Box,2016,621,1600,https://cdn.rebrickable.com/media/sets/10654-1.jpg,0,49.99,0,4.3,December 2016,112.37,4.0
10662-1,Creative Bucket,2013,35,607,https://cdn.rebrickable.com/media/sets/10662-1.jpg,0,19.99,0,4.5,November 2014,66.14,3.8
10664-1,Creative Tower,2013,35,1600,https://cdn.rebrickable.com/media/sets/10664-1.jpg,0,49.99,0,4.5,January 2015,79.68,4.0
10676-1,Knights' Castle,2014,591,480,https://cdn.rebrickable.com/media/sets/10676-1.jpg,4,34.99,4,4.5,November 2015,120.23,3.8
10682-1,Creative Suitcase,2014,35,1017,https://cdn.rebrickable.com/media/sets/10682-1.jpg,0,34.99,0,4.4,January 2015,67.18,4.0
10686-1,Family House,2015,591,226,https://cdn.rebrickable.com/media/sets/10686-1.jpg,3,24.99,3,4.3,December 2016,42.10,3.7
10692-1,Creative Bricks,2015,621,221,https://cdn.rebrickable.com/media/sets/10692-1.jpg,0,12.99,0,4.2,January 2023,17.06,3.6
